h,s,p_grid,omega,p_wt,p_el,p_comp,m_in,m_out,m_tank
9,2,374.8271826,1309.3191,1291.935644,1630.493477,36.26934911,32675.08929,25000,30700.35715
9,3,571.2821497,914.6714,1095.480677,1630.493477,36.26934911,32675.08929,25000,7675.089288
10,1,302.5385233,1859.3377,1364.224303,1630.493477,36.26934911,32675.08929,25000,30700.35715
10,2,461.579836,1601.4852,1205.182991,1630.493477,36.26934911,32675.08929,25000,38375.44644
10,3,225.007422,225.5519,1224.553934,1418.018388,31.54296823,28417.0885,25000,11092.17779
11,1,314.09518,1763.6729,1352.667647,1630.493477,36.26934911,32675.08929,25000,38375.44644
11,2,527.0846491,1474.1494,1139.678177,1630.493477,36.26934911,32675.08929,25000,46050.53573
11,3,397.4379426,1273.3493,1269.324884,1630.493477,36.26934911,32675.08929,25000,18767.26707
12,1,342.6715098,1585.297,1324.091317,1630.493477,36.26934911,32675.08929,25000,46050.53573
12,2,522.6212715,1544.1082,1144.141555,1630.493477,36.26934911,32675.08929,25000,53725.62502
12,3,507.0162319,760.5801,1159.746595,1630.493477,36.26934911,32675.08929,25000,26442.35636
13,1,375.8283966,1600.0289,1290.93443,1630.493477,36.26934911,32675.08929,25000,53725.62502
13,2,556.9523605,1481.8473,1109.810466,1630.493477,36.26934911,32675.08929,25000,61400.71431
13,3,133.6713811,322.6066,852.5597154,964.7703587,21.46073777,19333.99799,25000,20776.35435
14,1,499.0962546,699.1319,1167.666572,1630.493477,36.26934911,32675.08929,25000,61400.71431
14,2,0,1081.2564,1053.873725,1030.94106,22.93266532,20660.05884,25000,57060.77315
14,3,224.4093052,383.6878,911.4960204,1111.187624,24.71770197,22268.19998,18973.42391,24071.13041
15,1,465.6454306,578.4715,1018.328044,1451.681686,32.2917881,29091.70099,25000,65492.4153
15,2,39.94107968,560.5415,894.2279783,913.8412086,20.32784938,18313.37782,25000,50374.15097
